"class","Q_Experiencecode","Q_Info_Governmentcode","Q_Info_WeatherForecastcode","Q_Info_Scientificcode","Q_Info_GeneralMediacode","Q_Info_SocialMediacode","Q_FloodFuturecode","Q_ClimateChangecode","Q_Threatcode"
"1",1.71428571428571,1.78571428571429,2.92857142857143,1.46428571428571,3.35714285714286,2.75,1.28571428571429,2.07142857142857,1.57142857142857
"2",1.73684210526316,2.81578947368421,3.97368421052632,2.8421052631579,4.44736842105263,4.1578947368421,3.05263157894737,3.92105263157895,3.26315789473684
"3",1.53488372093023,1.52325581395349,1.98837209302326,1.44186046511628,2.68604651162791,2.22093023255814,2.69767441860465,3.43023255813953,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
