"Classes","LogLikelihood","AIC","BIC","Entropy"
2,-1822.54022041002,3803.08044082004,4041.9670019669,0.837188224251799
3,-1761.74435480597,3761.48870961193,4121.33049159264,0.929161142437708
4,-1716.9059287891,3751.81185757821,4232.60886039276,0.911580128274995
5,-1682.9758557517,3763.9517115034,4365.70393515181,0.95202229613662
